I_ref,I_no_tumor,40um,50um,60um,70um,80um,90um,100um
1.0251917070777277,1.015623236150388,1.015676527318918,1.0157675505316803,1.0158714242521538,1.0159530127209062,1.016214223588079,1.016489862777073,1.0166695551748688
0.377616032464465,0.3740916106384193,0.374059707696351,0.3740147826238055,0.3738561136712188,0.3737555888723289,0.3736025153104653,0.3732926706044279,0.37313588329726505
0.0040665788504292,0.0040286240550118,0.0040011365304028,0.0039943029245006,0.0039920421920797,0.0039977472625367,0.0040135452359347,0.0040331620694823,0.004052946417772848
0.1000162090092338,0.0990827229289556,0.0990791431519499,0.0990829548732894,0.0990891291375705,0.0991376438060884,0.0992035176113805,0.0992458644923206,0.09903284739057301
1.0038395473904702,0.9944703635991448,0.9944886906331066,0.9945240815551674,0.9945594421459848,0.9943413095068336,0.9942802018395288,0.9942500587370714,0.9944513531370045
1.0132289026129566,1.0037720847022495,1.0038533216887913,1.0039241903408829,1.0040143509566737,1.004330340266281,1.0045598783847227,1.004771113348423,1.0049982153080395
0.3746345721949822,0.3711379773750356,0.3710640311800646,0.3709430309436812,0.370851236493088,0.3706701140809249,0.370388352809259,0.3702006993819798,0.3699253942460694
0.003997850739889,0.0039605374078434,0.0039250035293122,0.0039163427951783,0.0039181310488608,0.0039292369176743,0.0039550689209654,0.0039884474349492,0.004019006300236984
0.107892333399001,0.1068853367092263,0.1068738872979094,0.10690122398092,0.1069400290724757,0.107003755636229,0.107049019801357,0.1068354892150956,0.10676307480953254
1.0071675319349134,0.9977672869058216,0.9978284474777048,0.997882425593823,0.997705119973244,0.9976930172848024,0.9976744943332462,0.9978659073525128,0.9978645639434667
1.0140960901386498,1.004631178464988,1.004764602283366,1.0047978491416465,1.0050312499334069,1.005214875911636,1.0053977956613835,1.0055459706340286,1.0060701206392553
0.3618604660447724,0.3584830964024049,0.3583249699722442,0.3582530298858785,0.3581244984041518,0.357866485129329,0.3576756345234833,0.357468026643877,0.3569380730732019
0.0040090649881351,0.0039716469896079,0.0039238290281065,0.0039130087396677,0.0039129971431961,0.0039244079543085,0.0039550082397433,0.0039960101399549,0.004017600769958746
0.1132934978135748,0.1122360901769397,0.1122429806007983,0.1122790770435594,0.1123877224835802,0.1124392104034728,0.112259665128296,0.112161617806025,0.11207002040369465
1.011695497608675,1.0022529915003944,1.0023222627326165,1.0021792211037026,1.0021730560331064,1.0021886724299125,1.00234736612098,1.0023792739089137,1.0024351716529774
1.0184667843610642,1.008961079477387,1.0091659562621091,1.009362835424207,1.0094930060702485,1.009636930872628,1.0098190995505612,1.0103566718715309,1.0107867455353776
0.3478445956303167,0.3445980409834574,0.3443806706852478,0.3442850821068706,0.3440363345330607,0.3438539451234469,0.3436307534370034,0.3430634026124419,0.3428098685755349
0.0038729231392817,0.0038367758000014,0.0037936868779683,0.0037827900782706,0.0037848067235945,0.0038072230497322,0.0038280127556726,0.003852764351581,0.003867878947924016
0.1163988261575559,0.1153124354109603,0.1153293698737434,0.115409061812525,0.1154802512737632,0.1153751303782815,0.1152939898489726,0.1151880152324235,0.11475273434638161
1.0195746778622587,1.0100586326230403,1.0099856911513443,1.0099849967663288,1.0099919943929498,1.010067465498484,1.0101548855013869,1.0102917700239131,1.0110172226595944
1.020783821209853,1.011256490615077,1.0116684380045748,1.0118199679671809,1.0119452204121144,1.0121489156756802,1.0126232844897407,1.0130280247400494,1.0130942348865655
0.3316482285988571,0.3285528402811664,0.3282374742118573,0.3279983954109586,0.3278405690263891,0.3275996849037459,0.3270383851207801,0.3267465781814977,0.3262836058010098
0.0051214104832894,0.0050736105772038,0.0050175438236361,0.005004611769665,0.0050064809148235,0.0050312122669216,0.0050692992447668,0.0050683561879352,0.005085360209162933
0.1209971835241268,0.1198678747081894,0.1199653585980962,0.1200354236537962,0.1199657201575241,0.1198866305267552,0.1197648396313352,0.1192969462738253,0.11971358508991757
1.024243105304326,1.0146834880073718,1.0146432226826183,1.0146387876122565,1.014628121968807,1.014696243370222,1.0148179971751217,1.0155365153673634,1.0148999631869176
1.0234434733992008,1.0138913193450996,1.0143656485646226,1.0145259618262934,1.0147698220415535,1.01522794527339,1.0156607162366185,1.0157893267791265,1.0173166372191664
0.3218444650179595,0.3188405786370872,0.3183454255436903,0.3181664311498103,0.3179593008375013,0.3174559418711107,0.3171301242656827,0.3166479371972439,0.31518145105158535
0.0053848102099288,0.0053345519025415,0.0052853378726954,0.0052789248509129,0.0052826118842726,0.0052921890803203,0.0052892882031641,0.005310764304396,0.005297105892925339
0.1302034624362421,0.1289882282158022,0.1291446015075625,0.1291033879423591,0.129021857447232,0.1289194312847436,0.1284259388976719,0.1287565373179857,0.1293221009932452
1.0290626361791897,1.0194580365236134,1.019438079315124,1.0193882827332237,1.019463051612346,1.0195538501416028,1.020242204682002,1.0196783875287123,1.0190968439672168
1.026241382043549,1.0166631141344202,1.0171666212759538,1.017490386128661,1.01795746531817,1.018384335149359,1.0186342193667288,1.0201563597833472,1.0217868232811924
0.3059050817439837,0.3030499631734645,0.3024713493529002,0.3022211970019876,0.3017173425698848,0.3014102685136662,0.3009083552605719,0.2994596614840334,0.2982944485991428
0.0037699371692919,0.003734751033905,0.0037090902141212,0.0037057011493265,0.0037075297215845,0.0037071915692135,0.0037216436473985,0.0037315577464033,0.0037314177616197815
0.1274028439500082,0.126213748876395,0.126284738250873,0.1262572400649538,0.1261555245713842,0.1256265963942167,0.1259018504080817,0.1263968604442079,0.12731533404827858
1.0335523142516871,1.0239058108683936,1.0238425619216818,1.0239035707781017,1.024023269380681,1.0246664302755029,1.0241499110461387,1.023621791910292,1.0236689910920713
1.033863218570591,1.0242138134090837,1.0249668603148592,1.0254209521344668,1.0258928284126954,1.0262501768657726,1.02771785472667,1.0293472509550718,1.0301688182003528
0.2936871319728139,0.2909460477788848,0.2902008033036392,0.2896594175084207,0.2892914024669979,0.2887652617159952,0.287361221089666,0.2861915297712638,0.28423658768737137
0.0058402976825953,0.0057857881521343,0.0057557816931506,0.0057622152336723,0.0057563186027308,0.0057614434374818,0.0057745258046554,0.005789930791905,0.005771003772830538
0.1322246697660421,0.1309905709142947,0.1310124476768418,0.1309576897113938,0.1304840924261471,0.1307097188854071,0.1311188807392306,0.1319443120771904,0.13443989573780935
1.043035264748827,1.0333002536888516,1.0332594360816756,1.0334037702742185,1.0340135791965963,1.0336177125375354,1.03319920456468,1.0332623515044783,1.028383019889503
1.0332352899415458,1.0235917454563956,1.0246299854240857,1.0250292075291918,1.0253569918440666,1.02669680483599,1.028212781023773,1.0290517731253148,1.035316816310191
0.2820500590496384,0.2794175877065079,0.2783775818868508,0.2779915365471578,0.2774559721206506,0.2761402412956064,0.2750513302551053,0.2731399002301554,0.2681198964165365
0.0059627177465675,0.0059070656270534,0.0059037340930956,0.0058952261164068,0.0058984393933577,0.0058784036835882,0.0058534943187905,0.0058618462995857,0.005925994202298165
0.1449712242019392,0.1436181573223545,0.1435756392754114,0.1430950046056395,0.1433288326396491,0.1437420550997994,0.1444541528901847,0.1468592233214178,0.1505887050172027
1.036522639968961,1.0268484135021358,1.0269264233020932,1.027473386492262,1.0271430949623093,1.026820813372133,1.026966605556491,1.0223307614749924,1.020891691581662
1.0405314193082529,1.0308197775090266,1.0319570383540346,1.03243647038013,1.033686318749924,1.0351323059672422,1.0359808587585366,1.0417399473127058,1.0411936245167617
0.2673437769221046,0.2648485644272776,0.2637229325215254,0.2631323374922614,0.2618583941913139,0.2607238153424849,0.2588876659882805,0.2542543028168471,0.2469702432378866
0.0038048968335363,0.0037693844074378,0.0037779988888751,0.0037777773042836,0.003761929726756,0.0037546315646032,0.0037560407727471,0.0037783623942984,0.0038851015365902767
0.1457307302325287,0.1443705746188786,0.1439330965183527,0.1440361417297098,0.1443441555359904,0.1450179590484591,0.1473559913816939,0.1509954660908377,0.1650956473328426
1.0506565149434757,1.0408503721035018,1.0414216460302528,1.0411779617887706,1.04092641635388,1.04103178763669,1.0366922204949292,1.0353348592764413,1.0666816349164996
1.0343381924437716,1.024684354185884,1.025894441946435,1.0271433036407087,1.028663820603989,1.0295645097232766,1.0348714113301702,1.034223346973569,1.0135006260092703
0.2598129138402222,0.2573879895109751,0.2560241545723717,0.2548048435623762,0.2535989606557045,0.2517807749664079,0.2474145303721753,0.2406909161027168,0.2264339529372927
0.0048531798880467,0.0048078834714414,0.0048197466220388,0.0048180550234775,0.0048162486170156,0.0048101952166773,0.0048251723286438,0.0049165641698845,0.004965226845614059
0.1561012017166119,0.1546442548840942,0.154366667884202,0.1546355010673942,0.1551389046960259,0.1573898693260317,0.1610392867212411,0.1749755911212063,0.17566698638153788
1.0495414814367978,1.039745745592525,1.0400456715517774,1.039871048484461,1.0399664951301384,1.035824864583301,1.0343664164670066,1.063265887655732,1.050371433052272
