Prop distance,Correlation Length,Visibility,Epsilon,Mean Transmission
1.18,2.4383558819287832e-06,0.8328601087340847,21.772569953811402,0.6062309742116725
1.2,2.479683947724186e-06,0.8287858519216766,22.35636645005293,0.6062308178678643
1.22,2.521012013519589e-06,0.823912623246617,23.05842791006289,0.6062312775844481
1.24,2.5623400793149927e-06,0.8205370192794263,23.54717279976271,0.606231695839787
1.26,2.6036681451103956e-06,0.8214558855560431,23.413933668764194,0.6062320178113723
1.28,2.644996210905799e-06,0.8199637983355113,23.630367627349287,0.6062321265625861
1.3,2.686324276701202e-06,0.8148752716974703,24.371454561335906,0.6062327337010047
1.32,2.727652342496605e-06,0.8100231707078764,25.08243165626165,0.6062325363564272
1.34,2.7689804082920084e-06,0.8090328082989502,25.228072453133947,0.6062331599944558
1.36,2.8103084740874113e-06,0.8070785673700305,25.515983108959126,0.6062332364322809
1.3800000000000001,2.851636539882814e-06,0.8061944683416594,25.646463061870158,0.6062332468406163
1.4000000000000001,2.892964605678218e-06,0.8016673618422719,26.31684737474333,0.6062335620268161
1.42,2.9342926714736204e-06,0.8016891404476677,26.313613295341774,0.6062334682379874
1.44,2.9756207372690233e-06,0.8000124187158449,26.56286048093931,0.6062338634246656
1.46,3.0169488030644266e-06,0.7982489433343913,26.825567989974623,0.6062351536595372
1.48,3.05827686885983e-06,0.7977308091927761,26.902865509540234,0.6062357148570664
1.5,3.099604934655233e-06,0.7924256145345518,27.697218978815343,0.6062364360104427
1.52,3.140933000450636e-06,0.7901220436128186,28.043792841296767,0.6062369847477017
1.54,3.1822610662460394e-06,0.7873351826628462,28.464431195672518,0.6062374396380442
1.56,3.2235891320414427e-06,0.7860946464997325,28.65215219145481,0.6062379327388284
1.58,3.264917197836845e-06,0.7853753456257364,28.76113430735577,0.60623829654736
1.6,3.3062452636322484e-06,0.7821403372636891,29.252511323959343,0.6062384262396265
1.62,3.347573329427652e-06,0.7787285610370698,29.772945146176234,0.6062385563673179
1.6400000000000001,3.3889013952230546e-06,0.7787823272738778,29.764725951655386,0.6062392110336361
1.6600000000000001,3.430229461018458e-06,0.7780581691122052,29.87547501217711,0.606239052531345
1.68,3.471557526813861e-06,0.7788998440011774,29.746763254427645,0.6062396295652149
1.7,3.512885592609264e-06,0.772170035317378,30.779821453298478,0.6062401554728301
1.72,3.554213658404667e-06,0.7699927348091891,31.11597612995974,0.6062400419310052
1.74,3.5955417242000703e-06,0.7687143650018368,31.31378754821029,0.6062400487405643
1.76,3.6368697899954736e-06,0.7701982572402599,31.08420480244077,0.606239824218805
1.78,3.678197855790876e-06,0.7666152749180185,31.639309606598403,0.6062391651602987
1.8,3.7195259215862794e-06,0.7610355085233325,32.50895974559244,0.6062394288563587
1.82,3.760853987381683e-06,0.7580579890800428,32.975642085932286,0.6062394223047046
1.84,3.8021820531770856e-06,0.7563228751427492,33.24844172079262,0.6062395630731902
1.86,3.843510118972489e-06,0.7545604984757159,33.526169101865676,0.606240436398069
1.8800000000000001,3.884838184767892e-06,0.7521247239975506,33.91108481014576,0.6062406751817608
1.9000000000000001,3.926166250563295e-06,0.7492148254726729,34.37256192898366,0.6062412259375942
1.92,3.967494316358698e-06,0.7483451351213797,34.51083295651344,0.606241618189957
1.94,4.008822382154101e-06,0.7466079394411941,34.78750933673202,0.6062420920827322
1.96,4.050150447949505e-06,0.7448813169911327,35.06314039825063,0.6062421081940862
1.98,4.091478513744907e-06,0.7444182934110067,35.137164263116915,0.6062419522704928
2.0,4.13280657954031e-06,0.7418133103051554,35.55448462315678,0.6062417441354936
2.02,4.174134645335714e-06,0.7409384702565959,35.69496347913106,0.606241159336061
2.04,4.215462711131117e-06,0.7388185253447962,36.03606619758081,0.6062417935224114
2.06,4.25679077692652e-06,0.7381412449501352,36.145248080100835,0.6062417618160434
2.08,4.2981188427219236e-06,0.7346234952045204,36.71394790920284,0.6062423053907808
2.1,4.339446908517326e-06,0.7304475071086198,37.392608241112605,0.6062423661167533
2.12,4.380774974312729e-06,0.7286482463359688,37.686211754241064,0.6062417266955752
2.14,4.422103040108133e-06,0.7284189476014908,37.723680813635376,0.6062414631104044
2.16,4.463431105903535e-06,0.7268383497080566,37.982283179313036,0.6062412170519863
2.18,4.504759171698938e-06,0.7234079953562012,38.54546512571936,0.6062408283384736
2.2,4.546087237494342e-06,0.7198104773941436,39.13896755517925,0.6062407912625621
2.22,4.587415303289745e-06,0.7204808691320754,39.02814477451623,0.606240462000201
2.24,4.628743369085148e-06,0.7208277091430717,38.97084895470505,0.6062402624586187
2.2600000000000002,4.670071434880552e-06,0.7197960717947846,39.14135008435804,0.6062403606408083
2.2800000000000002,4.711399500675954e-06,0.71699318433534,39.605826694779644,0.6062406928576226
2.3000000000000003,4.752727566471357e-06,0.7144530860541193,40.028326618357234,0.606241470568977
2.32,4.79405563226676e-06,0.7141399182667195,40.08052046214169,0.6062420162281792
2.34,4.835383698062163e-06,0.7121827552395423,40.407228785628845,0.6062422548053656
2.36,4.8767117638575665e-06,0.710769306714474,40.64373392364064,0.6062420254925603
2.38,4.918039829652969e-06,0.7071923716106763,41.244351722201195,0.6062420350678996
2.4,4.959367895448372e-06,0.7064347416344242,41.3719582919714,0.6062416539900596
